,Descrpition,Price,Rating,ReviewCount,URL
299,Ridge Racer Unbounded - Xbox 360,$34.98,4.3 out of 5 stars,ESRB Rating: Teen,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NDg5MTE4MDM0NDE2MDI6MTY1ODQwODI0NzpzcF9idGY6MjAwMDg0MzA2NDY0NDIxOjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FRidge-Racer-Unbounded-Xbox-360%2Fdp%2FB004NRN5E4%2Fref%3Dsr_1_20_sspa%3Fkeywords%3DXbox%2B360%26qid%3D1658408247%26sr%3D8-20-spons%26psc%3D1
300,Clive Barker's Jericho - Xbox 360,$23.00,4.2 out of 5 stars,ESRB Rating: Mature,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NDg5MTE4MDM0NDE2MDI6MTY1ODQwODI0NzpzcF9idGY6MjAwMDYxNTkxODA5ODk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FClive-Barkers-Jericho-Xbox-360%2Fdp%2FB000R0SR9E%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DXbox%2B360%26qid%3D1658408247%26sr%3D8-21-spons%26psc%3D1%26smid%3DA1X1PAXLARJIUF
301,Xbox 360 250GB Slim Console - (Renewed),$234.99,4.3 out of 5 stars,401,https://www.amazon.com/Xbox-360-250GB-Slim-Console-Refurbished/dp/B00LPWW9VK/ref=sr_1_1?keywords=Xbox+360&qid=1658408250&sr=8-1
302,Xbox 360 4GB Slim Console - (Renewed),$181.99,4.0 out of 5 stars,576,https://www.amazon.com/Xbox-360-4GB-Slim-Console-Refurbished/dp/B00KRT2QCY/ref=sr_1_2?keywords=Xbox+360&qid=1658408250&sr=8-2
303,Microsoft Xbox 360 E 4GB Console (Renewed),$188.99,4.2 out of 5 stars,ESRB Rating: Everyone,https://www.amazon.com/Microsoft-Xbox-360-Console-Certified-Refurbished/dp/B01ARFIYMS/ref=sr_1_3?keywords=Xbox+360&qid=1658408250&sr=8-3
304,Microsoft Xbox 360 20GB Console White (Renewed),$185.95,3.8 out of 5 stars,314,https://www.amazon.com/Microsoft-Xbox-360-Console-White-Renewed/dp/B07NMJ5HK1/ref=sr_1_4?keywords=Xbox+360&qid=1658408250&sr=8-4
305,Xbox 360 Wireless Controller Black by Microsoft (Renewed),$39.99,4.0 out of 5 stars,364,https://www.amazon.com/Xbox-360-Wireless-Controller-Refurbished-microsoft/dp/B07FTWMTCK/ref=sr_1_5?keywords=Xbox+360&qid=1658408250&sr=8-5
306,Microsoft Xbox 360 Elite 120GB Console Bundle (Renewed),$195.99,3.8 out of 5 stars,190,https://www.amazon.com/Microsoft-Elite-Console-Bundle-Renewed-one/dp/B07Z8F1792/ref=sr_1_6?keywords=Xbox+360&qid=1658408250&sr=8-6
307,"Tianken 120G Hard Drive External HDD for Xbox 360, Gray",$33.99,4.3 out of 5 stars,290,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Njg1NDQ0ODI3NzgxNDYwOjE2NTg0MDgyNTA6c3BfbXRmOjIwMDAxMjcyNzI4OTc2MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FTianken-120G-Hard-Drive-External%2Fdp%2FB07QLQ5VY3%2Fref%3Dsr_1_9_sspa%3Fkeywords%3DXbox%2B360%26qid%3D1658408250%26sr%3D8-9-spons%26psc%3D1
308,Xbox 360 Wireless Controller - White (Renewed),$45.95,4.0 out of 5 stars,189,https://www.amazon.com/Xbox-360-Wireless-Controller-Renewed/dp/B00VB1R2VC/ref=sr_1_11?keywords=Xbox+360&qid=1658408250&sr=8-11
309,"Wireless Controller Compatible with Xbox 360 2.4GHZ Gamepad Joystick Wireless Controller Compatible with Xbox 360 and PC Windows 7,8,10,11 with Receiver (Black)",$18.99,4.5 out of 5 stars,295,https://www.amazon.com/Wireless-Controller-Compatible-Joystick-Receiver/dp/B09WQGQ6D2/ref=sr_1_12?keywords=Xbox+360&qid=1658408250&sr=8-12
310,Grand Theft Auto V - Xbox 360,$18.00,4.5 out of 5 stars,ESRB Rating: Mature,https://www.amazon.com/Grand-Theft-Auto-V-Xbox-microsoft/dp/B0050SYILE/ref=sr_1_13?keywords=Xbox+360&qid=1658408250&sr=8-13
311,Xbox 360 Wired Controller for Microsoft Xbox 360 and Windows PC (Windows 10/8.1/8/7) Game Controller with Dual Vibration and Ergonomic,$16.99,4.3 out of 5 stars,41,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Njg1NDQ0ODI3NzgxNDYwOjE2NTg0MDgyNTA6c3BfbXRmOjIwMDA2OTIwMjQ1NTA5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FController-Microsoft-Windows-Vibration-Ergonomic%2Fdp%2FB09LMBN9Q8%2Fref%3Dsr_1_14_sspa%3Fkeywords%3DXbox%2B360%26qid%3D1658408250%26sr%3D8-14-spons%26psc%3D1
312,"Wireless Controller Compatible with Xbox 360, Astarry 2.4GHZ Game Controller Gamepad Joystick Compatible with Xbox & Slim 360 PC Windows 7, 8, 10 (Black)",$22.99,4.3 out of 5 stars,"9,926",https://www.amazon.com/Wireless-Controller-Astarry-Gamepad-Joystick/dp/B07L73CW6T/ref=sr_1_15?keywords=Xbox+360&qid=1658408250&sr=8-15
313,"VOYEE Wireless Controller with Receiver Compatible with Microsoft Xbox 360/Slim/Windows 11/10/8/7, with Upgraded Joystick/Dual Shock (Black)",$18.89,4.2 out of 5 stars,"5,570",https://www.amazon.com/Controller-VOYEE-Enhanced-Compatible-Microsoft/dp/B082NQLY97/ref=sr_1_16?keywords=Xbox+360&qid=1658408250&sr=8-16
314,2 Pack Rechargeable Battery with Dual Charging Station Dock for Xbox 360 Controller,$17.90,4.3 out of 5 stars,"1,221",https://www.amazon.com/Rechargeable-Battery-Charging-Wireless-Controller/dp/B08CRSBPK2/ref=sr_1_17?keywords=Xbox+360&qid=1658408250&sr=8-17
315,Nintendo Wii Console (Black) - (Renewed),$138.99,4.2 out of 5 stars,552,https://www.amazon.com/Nintendo-Wii-Console-Black-Renewed/dp/B00TGHVHQO/ref=sr_1_18?keywords=Xbox+360&qid=1658408250&sr=8-18
316,Prototype 2 Radnet edition /(Xbox 360),$34.99,5.0 out of 5 stars,3,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Njg1NDQ0ODI3NzgxNDYwOjE2NTg0MDgyNTA6c3BfYnRmOjIwMDA3MDI4OTk1MTY5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FPrototype-2-Radnet-X360%2Fdp%2FB007WU6R3A%2Fref%3Dsr_1_19_sspa%3Fkeywords%3DXbox%2B360%26qid%3D1658408250%26sr%3D8-19-spons%26psc%3D1
317,Ridge Racer Unbounded - Xbox 360,$34.98,4.3 out of 5 stars,ESRB Rating: Teen,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Njg1NDQ0ODI3NzgxNDYwOjE2NTg0MDgyNTA6c3BfYnRmOjIwMDA4NDMwNjQ2NDQyMTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FRidge-Racer-Unbounded-Xbox-360%2Fdp%2FB004NRN5E4%2Fref%3Dsr_1_20_sspa%3Fkeywords%3DXbox%2B360%26qid%3D1658408250%26sr%3D8-20-spons%26psc%3D1
318,Clive Barker's Jericho - Xbox 360,$23.00,4.2 out of 5 stars,ESRB Rating: Mature,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Njg1NDQ0ODI3NzgxNDYwOjE2NTg0MDgyNTA6c3BfYnRmOjIwMDA2MTU5MTgwOTg5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FClive-Barkers-Jericho-Xbox-360%2Fdp%2FB000R0SR9E%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DXbox%2B360%26qid%3D1658408250%26sr%3D8-21-spons%26psc%3D1%26smid%3DA1X1PAXLARJIUF
319,Xbox 360 250GB Slim Console - (Renewed),$234.99,4.3 out of 5 stars,401,https://www.amazon.com/Xbox-360-250GB-Slim-Console-Refurbished/dp/B00LPWW9VK/ref=sr_1_1?keywords=Xbox+360&qid=1658408253&sr=8-1
320,Xbox 360 4GB Slim Console - (Renewed),$181.99,4.0 out of 5 stars,576,https://www.amazon.com/Xbox-360-4GB-Slim-Console-Refurbished/dp/B00KRT2QCY/ref=sr_1_2?keywords=Xbox+360&qid=1658408253&sr=8-2
321,Microsoft Xbox 360 E 4GB Console (Renewed),$188.99,4.2 out of 5 stars,ESRB Rating: Everyone,https://www.amazon.com/Microsoft-Xbox-360-Console-Certified-Refurbished/dp/B01ARFIYMS/ref=sr_1_3?keywords=Xbox+360&qid=1658408253&sr=8-3
322,Microsoft Xbox 360 20GB Console White (Renewed),$185.95,3.8 out of 5 stars,314,https://www.amazon.com/Microsoft-Xbox-360-Console-White-Renewed/dp/B07NMJ5HK1/ref=sr_1_4?keywords=Xbox+360&qid=1658408253&sr=8-4
323,Xbox 360 Wireless Controller Black by Microsoft (Renewed),$39.99,4.0 out of 5 stars,364,https://www.amazon.com/Xbox-360-Wireless-Controller-Refurbished-microsoft/dp/B07FTWMTCK/ref=sr_1_5?keywords=Xbox+360&qid=1658408253&sr=8-5
324,Microsoft Xbox 360 Elite 120GB Console Bundle (Renewed),$195.99,3.8 out of 5 stars,190,https://www.amazon.com/Microsoft-Elite-Console-Bundle-Renewed-one/dp/B07Z8F1792/ref=sr_1_6?keywords=Xbox+360&qid=1658408253&sr=8-6
325,"Tianken 120G Hard Drive External HDD for Xbox 360, Gray",$33.99,4.3 out of 5 stars,290,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NjcxMDA1MzI1Mzg1MzoxNjU4NDA4MjUzOnNwX210ZjoyMDAwMTI3MjcyODk3NjE6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FTianken-120G-Hard-Drive-External%2Fdp%2FB07QLQ5VY3%2Fref%3Dsr_1_9_sspa%3Fkeywords%3DXbox%2B360%26qid%3D1658408253%26sr%3D8-9-spons%26psc%3D1
326,Xbox 360 Wireless Controller - White (Renewed),$45.95,4.0 out of 5 stars,189,https://www.amazon.com/Xbox-360-Wireless-Controller-Renewed/dp/B00VB1R2VC/ref=sr_1_11?keywords=Xbox+360&qid=1658408253&sr=8-11
327,"Wireless Controller Compatible with Xbox 360 2.4GHZ Gamepad Joystick Wireless Controller Compatible with Xbox 360 and PC Windows 7,8,10,11 with Receiver (Black)",$18.99,4.5 out of 5 stars,295,https://www.amazon.com/Wireless-Controller-Compatible-Joystick-Receiver/dp/B09WQGQ6D2/ref=sr_1_12?keywords=Xbox+360&qid=1658408253&sr=8-12
328,Grand Theft Auto V - Xbox 360,$18.00,4.5 out of 5 stars,ESRB Rating: Mature,https://www.amazon.com/Grand-Theft-Auto-V-Xbox-microsoft/dp/B0050SYILE/ref=sr_1_13?keywords=Xbox+360&qid=1658408253&sr=8-13
329,Xbox 360 Wired Controller for Microsoft Xbox 360 and Windows PC (Windows 10/8.1/8/7) Game Controller with Dual Vibration and Ergonomic,$16.99,4.3 out of 5 stars,41,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NjcxMDA1MzI1Mzg1MzoxNjU4NDA4MjUzOnNwX210ZjoyMDAwNjkyMDI0NTUwOTg6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FController-Microsoft-Windows-Vibration-Ergonomic%2Fdp%2FB09LMBN9Q8%2Fref%3Dsr_1_14_sspa%3Fkeywords%3DXbox%2B360%26qid%3D1658408253%26sr%3D8-14-spons%26psc%3D1
330,"Wireless Controller Compatible with Xbox 360, Astarry 2.4GHZ Game Controller Gamepad Joystick Compatible with Xbox & Slim 360 PC Windows 7, 8, 10 (Black)",$22.99,4.3 out of 5 stars,"9,926",https://www.amazon.com/Wireless-Controller-Astarry-Gamepad-Joystick/dp/B07L73CW6T/ref=sr_1_15?keywords=Xbox+360&qid=1658408253&sr=8-15
331,"VOYEE Wireless Controller with Receiver Compatible with Microsoft Xbox 360/Slim/Windows 11/10/8/7, with Upgraded Joystick/Dual Shock (Black)",$18.89,4.2 out of 5 stars,"5,570",https://www.amazon.com/Controller-VOYEE-Enhanced-Compatible-Microsoft/dp/B082NQLY97/ref=sr_1_16?keywords=Xbox+360&qid=1658408253&sr=8-16
332,2 Pack Rechargeable Battery with Dual Charging Station Dock for Xbox 360 Controller,$17.90,4.3 out of 5 stars,"1,221",https://www.amazon.com/Rechargeable-Battery-Charging-Wireless-Controller/dp/B08CRSBPK2/ref=sr_1_17?keywords=Xbox+360&qid=1658408253&sr=8-17
333,Nintendo Wii Console (Black) - (Renewed),$138.99,4.2 out of 5 stars,552,https://www.amazon.com/Nintendo-Wii-Console-Black-Renewed/dp/B00TGHVHQO/ref=sr_1_18?keywords=Xbox+360&qid=1658408253&sr=8-18
334,Prototype 2 Radnet edition /(Xbox 360),$34.99,5.0 out of 5 stars,3,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NjcxMDA1MzI1Mzg1MzoxNjU4NDA4MjUzOnNwX2J0ZjoyMDAwNzAyODk5NTE2OTg6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FPrototype-2-Radnet-X360%2Fdp%2FB007WU6R3A%2Fref%3Dsr_1_19_sspa%3Fkeywords%3DXbox%2B360%26qid%3D1658408253%26sr%3D8-19-spons%26psc%3D1
335,Ridge Racer Unbounded - Xbox 360,$34.98,4.3 out of 5 stars,ESRB Rating: Teen,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NjcxMDA1MzI1Mzg1MzoxNjU4NDA4MjUzOnNwX2J0ZjoyMDAwODQzMDY0NjQ0MjE6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FRidge-Racer-Unbounded-Xbox-360%2Fdp%2FB004NRN5E4%2Fref%3Dsr_1_20_sspa%3Fkeywords%3DXbox%2B360%26qid%3D1658408253%26sr%3D8-20-spons%26psc%3D1
336,Clive Barker's Jericho - Xbox 360,$23.00,4.2 out of 5 stars,ESRB Rating: Mature,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NjcxMDA1MzI1Mzg1MzoxNjU4NDA4MjUzOnNwX2J0ZjoyMDAwNjE1OTE4MDk4OTg6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FClive-Barkers-Jericho-Xbox-360%2Fdp%2FB000R0SR9E%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DXbox%2B360%26qid%3D1658408253%26sr%3D8-21-spons%26psc%3D1%26smid%3DA1X1PAXLARJIUF
337,Xbox 360 250GB Slim Console - (Renewed),$234.99,4.3 out of 5 stars,401,https://www.amazon.com/Xbox-360-250GB-Slim-Console-Refurbished/dp/B00LPWW9VK/ref=sr_1_1?keywords=Xbox+360&qid=1658408256&sr=8-1
338,Xbox 360 4GB Slim Console - (Renewed),$181.99,4.0 out of 5 stars,576,https://www.amazon.com/Xbox-360-4GB-Slim-Console-Refurbished/dp/B00KRT2QCY/ref=sr_1_2?keywords=Xbox+360&qid=1658408256&sr=8-2
339,Microsoft Xbox 360 E 4GB Console (Renewed),$188.99,4.2 out of 5 stars,ESRB Rating: Everyone,https://www.amazon.com/Microsoft-Xbox-360-Console-Certified-Refurbished/dp/B01ARFIYMS/ref=sr_1_3?keywords=Xbox+360&qid=1658408256&sr=8-3
340,Microsoft Xbox 360 20GB Console White (Renewed),$185.95,3.8 out of 5 stars,314,https://www.amazon.com/Microsoft-Xbox-360-Console-White-Renewed/dp/B07NMJ5HK1/ref=sr_1_4?keywords=Xbox+360&qid=1658408256&sr=8-4
341,Xbox 360 Wireless Controller Black by Microsoft (Renewed),$39.99,4.0 out of 5 stars,364,https://www.amazon.com/Xbox-360-Wireless-Controller-Refurbished-microsoft/dp/B07FTWMTCK/ref=sr_1_5?keywords=Xbox+360&qid=1658408256&sr=8-5
342,Microsoft Xbox 360 Elite 120GB Console Bundle (Renewed),$195.99,3.8 out of 5 stars,190,https://www.amazon.com/Microsoft-Elite-Console-Bundle-Renewed-one/dp/B07Z8F1792/ref=sr_1_6?keywords=Xbox+360&qid=1658408256&sr=8-6
343,"Tianken 120G Hard Drive External HDD for Xbox 360, Gray",$33.99,4.3 out of 5 stars,290,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDQ4OTY0NjIxNzIyMTc5OjE2NTg0MDgyNTY6c3BfbXRmOjIwMDAxMjcyNzI4OTc2MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FTianken-120G-Hard-Drive-External%2Fdp%2FB07QLQ5VY3%2Fref%3Dsr_1_9_sspa%3Fkeywords%3DXbox%2B360%26qid%3D1658408256%26sr%3D8-9-spons%26psc%3D1
344,Xbox 360 Wireless Controller - White (Renewed),$45.95,4.0 out of 5 stars,189,https://www.amazon.com/Xbox-360-Wireless-Controller-Renewed/dp/B00VB1R2VC/ref=sr_1_11?keywords=Xbox+360&qid=1658408256&sr=8-11
345,"Wireless Controller Compatible with Xbox 360 2.4GHZ Gamepad Joystick Wireless Controller Compatible with Xbox 360 and PC Windows 7,8,10,11 with Receiver (Black)",$18.99,4.5 out of 5 stars,295,https://www.amazon.com/Wireless-Controller-Compatible-Joystick-Receiver/dp/B09WQGQ6D2/ref=sr_1_12?keywords=Xbox+360&qid=1658408256&sr=8-12
346,Grand Theft Auto V - Xbox 360,$18.00,4.5 out of 5 stars,ESRB Rating: Mature,https://www.amazon.com/Grand-Theft-Auto-V-Xbox-microsoft/dp/B0050SYILE/ref=sr_1_13?keywords=Xbox+360&qid=1658408256&sr=8-13
347,Xbox 360 Wired Controller for Microsoft Xbox 360 and Windows PC (Windows 10/8.1/8/7) Game Controller with Dual Vibration and Ergonomic,$16.99,4.3 out of 5 stars,41,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDQ4OTY0NjIxNzIyMTc5OjE2NTg0MDgyNTY6c3BfbXRmOjIwMDA2OTIwMjQ1NTA5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FController-Microsoft-Windows-Vibration-Ergonomic%2Fdp%2FB09LMBN9Q8%2Fref%3Dsr_1_14_sspa%3Fkeywords%3DXbox%2B360%26qid%3D1658408256%26sr%3D8-14-spons%26psc%3D1
348,"Wireless Controller Compatible with Xbox 360, Astarry 2.4GHZ Game Controller Gamepad Joystick Compatible with Xbox & Slim 360 PC Windows 7, 8, 10 (Black)",$22.99,4.3 out of 5 stars,"9,926",https://www.amazon.com/Wireless-Controller-Astarry-Gamepad-Joystick/dp/B07L73CW6T/ref=sr_1_15?keywords=Xbox+360&qid=1658408256&sr=8-15
349,"VOYEE Wireless Controller with Receiver Compatible with Microsoft Xbox 360/Slim/Windows 11/10/8/7, with Upgraded Joystick/Dual Shock (Black)",$18.89,4.2 out of 5 stars,"5,570",https://www.amazon.com/Controller-VOYEE-Enhanced-Compatible-Microsoft/dp/B082NQLY97/ref=sr_1_16?keywords=Xbox+360&qid=1658408256&sr=8-16
350,2 Pack Rechargeable Battery with Dual Charging Station Dock for Xbox 360 Controller,$17.90,4.3 out of 5 stars,"1,221",https://www.amazon.com/Rechargeable-Battery-Charging-Wireless-Controller/dp/B08CRSBPK2/ref=sr_1_17?keywords=Xbox+360&qid=1658408256&sr=8-17
351,Nintendo Wii Console (Black) - (Renewed),$138.99,4.2 out of 5 stars,552,https://www.amazon.com/Nintendo-Wii-Console-Black-Renewed/dp/B00TGHVHQO/ref=sr_1_18?keywords=Xbox+360&qid=1658408256&sr=8-18
352,Prototype 2 Radnet edition /(Xbox 360),$34.99,5.0 out of 5 stars,3,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDQ4OTY0NjIxNzIyMTc5OjE2NTg0MDgyNTY6c3BfYnRmOjIwMDA3MDI4OTk1MTY5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FPrototype-2-Radnet-X360%2Fdp%2FB007WU6R3A%2Fref%3Dsr_1_19_sspa%3Fkeywords%3DXbox%2B360%26qid%3D1658408256%26sr%3D8-19-spons%26psc%3D1
353,Ridge Racer Unbounded - Xbox 360,$34.98,4.3 out of 5 stars,ESRB Rating: Teen,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDQ4OTY0NjIxNzIyMTc5OjE2NTg0MDgyNTY6c3BfYnRmOjIwMDA4NDMwNjQ2NDQyMTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FRidge-Racer-Unbounded-Xbox-360%2Fdp%2FB004NRN5E4%2Fref%3Dsr_1_20_sspa%3Fkeywords%3DXbox%2B360%26qid%3D1658408256%26sr%3D8-20-spons%26psc%3D1
354,Clive Barker's Jericho - Xbox 360,$23.00,4.2 out of 5 stars,ESRB Rating: Mature,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDQ4OTY0NjIxNzIyMTc5OjE2NTg0MDgyNTY6c3BfYnRmOjIwMDA2MTU5MTgwOTg5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FClive-Barkers-Jericho-Xbox-360%2Fdp%2FB000R0SR9E%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DXbox%2B360%26qid%3D1658408256%26sr%3D8-21-spons%26psc%3D1%26smid%3DA1X1PAXLARJIUF
